curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2020-21,Huelva,11.476405405405405,7.345,10.4,11.738,12.739
2020-21,Huesca,11.295918032786886,5.66,10.645,11.558,12.661
2020-21,Baleares,10.366430622009569,5.392,9.072,10.718,11.762
2020-21,Jaén,11.291635294117647,5.5,10.295,11.839,12.685
2020-21,La Rioja,11.30376,6.388,10.388,11.581,12.82625
2020-21,Las Palmas,11.295476868327402,5.006,10.294,11.627,12.698
2020-21,León,11.210669902912622,5.35,10.091000000000001,11.665,12.938
2020-21,Lérida,10.027764705882353,5.112,8.42,10.062,12.19
2020-21,Lugo,11.817742857142857,7.96,10.875,12.522,13.277000000000001
2020-21,Madrid,10.114217715617716,5.0,8.736,10.242,11.600750000000001
2020-21,Melilla,10.644333333333334,6.427,8.475,11.556,12.5905
2020-21,Murcia,11.213801242236025,5.478,9.878,11.506,12.811
2020-21,Málaga,11.275005882352941,5.921,10.503499999999999,11.64,12.427
2020-21,Navarra,10.892155339805825,5.73,9.46,11.174,12.262
2020-21,Orense,11.437481481481482,7.442,10.67,11.528,12.895
2020-21,Palencia,9.423113402061857,5.002,7.633,9.2605,11.15975
2020-21,Pontevedra,10.954454545454546,5.0,9.85,11.56,12.456
2020-21,Salamanca,11.269586206896552,6.506,10.162,11.629,12.53
2020-21,Santa Cruz de Tenerife,11.718438053097346,6.083,10.769,12.151499999999999,12.923
2020-21,Segovia,9.61888735632184,5.02,7.86,9.394,11.6415
2020-21,Sevilla,11.004303370786518,5.0,9.791,11.788,12.544
2020-21,Soria,9.655507692307692,5.16,7.402,9.58,11.873999999999999
2020-21,Tarragona,10.873529411764705,8.464,9.972,10.756,11.738
2020-21,Teruel,11.244181818181818,9.601,10.329,11.289,12.2085
2020-21,Toledo,10.769359818388196,5.056,9.4,10.997,12.253
2020-21,Valencia,10.45463725490196,5.4,8.7095,10.811,12.30575
2020-21,Valladolid,9.617988467874794,5.0,7.644,9.556,11.65
2020-21,Bizkaia,9.731727272727273,5.692,7.5,9.93,11.556
2020-21,Zamora,11.049379310344829,5.92,9.561,11.182,12.862
